cluster_id,customer_count,geometry
893ca826403ffff,26,"POLYGON ((86.33555816357114 23.69436798156021, 86.33755291189436 23.69400978352097, 86.33896443450757 23.69540524206129, 86.33838118630239 23.69715889529532, 86.33979273462018 23.69855432474851, 86.33920948239508 23.70030793317448, 86.33721467462033 23.70066609977658, 86.33663141114354 23.70241965101811, 86.3346366146156 23.70277776378099, 86.33405333988951 23.70453125783139, 86.33205855461649 23.70488931675063, 86.33064707380109 23.70349389734423, 86.33123035575105 23.70174041566781, 86.32981890064397 23.70034496716963, 86.32782418609925 23.70070300370025, 86.32641277921491 23.6993075294707, 86.32699606435943 23.69755401536055, 86.32899074917157 23.69719596309783, 86.32957402307467 23.69544239179895, 86.33156871915666 23.69508428569932, 86.33215198181595 23.6933306572184, 86.33414668915978 23.69297249728628, 86.33555816357114 23.69436798156021))"
893ca9c126fffff,42,"POLYGON ((86.43197836437439 23.85011436785359, 86.43339183572475 23.85150809191524, 86.43538862568171 23.85114989308542, 86.43680214504722 23.85254359087647, 86.43621885214151 23.85429548409786, 86.43763239720572 23.85568915221084, 86.43704910031363 23.85744100019959, 86.43846267107682 23.85883463862456, 86.43787937019857 23.86058644137232, 86.4358824911825 23.86094459354777, 86.43529917894357 23.86269633890157, 86.43330231088312 23.86305443708365, 86.43271898728585 23.86480612503681, 86.43072213018918 23.86516416922113, 86.42930862638197 23.86377054100909, 86.42731180995051 23.86412854675217, 86.42589835417743 23.86273489225489, 86.42390157842389 23.86309285956134, 86.422488170693 23.86169917878798, 86.42307151637606 23.85994752730055, 86.42506826243398 23.85958954442625, 86.42565159676899 23.85783783553386, 86.42423819240314 23.85644412167828, 86.42482152274707 23.85469236754908, 86.42681825009863 23.85433431511352, 86.42740156909316 23.85258250359122, 86.42939830742586 23.85222439716827, 86.42998161506866 23.85047252825951, 86.43197836437439 23.85011436785359))"
893ca9c80d3ffff,47,"POLYGON ((86.4117239967088 23.78125064564898, 86.41372009287274 23.78089214255142, 86.41430330136771 23.77913922350786, 86.41629940854756 23.7787806665132, 86.41771233691685 23.7801750441526, 86.41970848478778 23.77981644885161, 86.42112146118704 23.78121080040534, 86.42053826737909 23.78296374389625, 86.41854208982484 23.78332232361249, 86.41795888467922 23.7850752098414, 86.41937186443386 23.78646952857276, 86.41878865529665 23.78822236975267, 86.41679245905989 23.78858087998196, 86.41620923858635 23.79033366388796, 86.41421305335854 23.79069212020902, 86.41280011829348 23.78929780821422, 86.41080397377303 23.78965622621692, 86.40939108675792 23.78826188813021, 86.40997432190746 23.78650912867109, 86.40856146058869 23.78511476113076, 86.40914469174301 23.78336195662369, 86.40773185612028 23.78196755963972, 86.40831508327915 23.78021471009305, 86.4103111387289 23.77985624529791, 86.4117239967088 23.78125064564898))"
893ca9c8117ffff,74,"POLYGON ((86.44864475913802 23.79439468079978, 86.44922789798953 23.79264168477134, 86.45122444117169 23.79228276004325, 86.45180756865477 23.79052970676584, 86.45039416034511 23.78913559039627, 86.45097728384907 23.78738249205531, 86.45297380827218 23.78702349790475, 86.45438723885057 23.78841761762881, 86.45380412273829 23.79017072814849, 86.45521757899802 23.79156481834061, 86.45721417363292 23.79120580136634, 86.4586276778347 23.79259986537181, 86.45804456514232 23.79435294299584, 86.4594580950247 23.79574697745096, 86.45887497835602 23.79750000999683, 86.46028853391928 23.79889401489162, 86.46228522840462 23.7985349905962, 86.46369883189996 23.79992896927829, 86.46311571866021 23.80168196889782, 86.46111899451896 23.80204097767549, 86.46053586989841 23.80379392003992, 86.45853915663071 23.80415287491864, 86.4579560206317 23.80590576002131, 86.45595931824563 23.80626466099665, 86.45537617087052 23.80801748883087, 86.45337947937421 23.80837633589841, 86.45196596491704 23.80698237066018, 86.45254911968686 23.8052295549905, 86.45113563091461 23.80383556017743, 86.44913900964653 23.80419438439956, 86.44855584748667 23.80594718790012, 86.44655923712916 23.80630595821301, 86.44514581860015 23.80491194056445, 86.44572898814535 23.8031591492376, 86.44431559530327 23.80176510203107, 86.44489876086664 23.80001226560824, 86.44689531188921 23.79965346421469, 86.4474784660878 23.79790057052428, 86.4460650766477 23.79650649040698, 86.44664822686531 23.79475355163419, 86.44864475913802 23.79439468079978))"
893ca9c811bffff,48,"POLYGON ((86.44864475913802 23.79439468079978, 86.44664822686531 23.79475355163419, 86.4460650766477 23.79650649040698, 86.4474784660878 23.79790057052428, 86.44689531188921 23.79965346421469, 86.44489876086664 23.80001226560824, 86.44348539371121 23.79861818885371, 86.44148888328165 23.79897695188747, 86.44007556410433 23.79758284895842, 86.44065873306366 23.79582997963252, 86.4392454395737 23.79443584717386, 86.43982860454946 23.79268293277183, 86.43841533674663 23.79128877079355, 86.43899849773857 23.78953581132374, 86.44099491915908 23.78917700164101, 86.44157806879285 23.78742398491789, 86.44357450114596 23.78706512134374, 86.44415763941917 23.78531204737398, 86.44615408269678 23.78495312991286, 86.44756741736505 23.78634730196578, 86.44956390122177 23.78598834616223, 86.45014702074639 23.78423520276609, 86.45214351550911 23.78387619308072, 86.4535569204064 23.78527034232675, 86.45297380827218 23.78702349790475, 86.45097728384907 23.78738249205531, 86.45039416034511 23.78913559039627, 86.45180756865477 23.79052970676584, 86.45122444117169 23.79228276004325, 86.44922789798953 23.79264168477134, 86.44864475913802 23.79439468079978))"
893ca9c812fffff,31,"POLYGON ((86.45297380827218 23.78702349790475, 86.4535569204064 23.78527034232675, 86.45214351550911 23.78387619308072, 86.45272662366501 23.78212299245276, 86.45472312932561 23.78176392889, 86.45613655648718 23.78315808148671, 86.45813310269331 23.78279897957837, 86.45871619208097 23.78104570954635, 86.46071274916649 23.78068655376575, 86.46212624651663 23.78208068353969, 86.46154316453091 23.78383396574609, 86.4629566875586 23.78522806599267, 86.46237360159826 23.78698130314809, 86.46378715030376 23.78837537385733, 86.46320406036899 23.79012856595342, 86.46120741432303 23.7904876751726, 86.46062431300827 23.79224081003602, 86.46203786514413 23.79363484784567, 86.46145475985413 23.79538793763614, 86.4594580950247 23.79574697745096, 86.45804456514232 23.79435294299584, 86.4586276778347 23.79259986537181, 86.45721417363292 23.79120580136634, 86.45521757899802 23.79156481834061, 86.45380412273829 23.79017072814849, 86.45438723885057 23.78841761762881, 86.45297380827218 23.78702349790475))"
893ca9c8143ffff,32,"POLYGON ((86.44357450114596 23.78706512134374, 86.44157806879285 23.78742398491789, 86.44016480438138 23.78602979007099, 86.43816841263047 23.7863886153066, 86.43675519620108 23.78499439431895, 86.43475884506508 23.78535318122061, 86.43334567662573 23.78395893410138, 86.43392883701746 23.78220589672277, 86.43592515848161 23.78184709426132, 86.43733834922469 23.78324134473871, 86.43933471130602 23.78288250394864, 86.43991785297357 23.78112939712554, 86.44191422599212 23.78077050245148, 86.44249735630123 23.77901733839224, 86.44449374024894 23.77865838983862, 86.44590702355131 23.78005262089174, 86.44532390062191 23.78180579714516, 86.44673720960709 23.78319999870316, 86.44873366380114 23.78284102735949, 86.45014702074639 23.78423520276609, 86.44956390122177 23.78598834616223, 86.44756741736505 23.78634730196578, 86.44615408269678 23.78495312991286, 86.44415763941917 23.78531204737398, 86.44357450114596 23.78706512134374))"
893ca9c822bffff,39,"POLYGON ((86.425046829518 23.75248244352311, 86.425629950041 23.75072895612584, 86.4276259747882 23.75036999797843, 86.42903890868278 23.75176454280453, 86.43103497407004 23.75140554638165, 86.43244795595761 23.75280006515989, 86.43444406197224 23.75244103045693, 86.43585709184482 23.75383552317817, 86.43527399340158 23.75558904726052, 86.43668704895582 23.75698351057487, 86.43610394652849 23.75873698968366, 86.43751702776466 23.76013142358116, 86.43693392135354 23.761884857708, 86.43493772633788 23.76224384572025, 86.43435460857465 23.76399722264237, 86.43235842451013 23.76435615679291, 86.43177529539719 23.76610947650364, 86.4297791222919 23.76646835678805, 86.42836610797244 23.7650739329307, 86.42636997550848 23.76543277491764, 86.42495700919299 23.76403832498858, 86.42554015302203 23.76228502972327, 86.42753625581199 23.7619261721616, 86.4281193882981 23.76017281968198, 86.42670642534976 23.75877833699173, 86.42728955384841 23.75702493953118, 86.42587661658527 23.75563042743945, 86.42645974109622 23.75387698500634, 86.425046829518 23.75248244352311))"
893ca9c8307ffff,9,"POLYGON ((86.45398151954714 23.76706110439165, 86.45539486625572 23.7684553783128, 86.45481179277418 23.77020882845247, 86.45281536519086 23.77056799247998, 86.45223228033909 23.77232138541696, 86.45023586365251 23.77268049558264, 86.44882256147683 23.77128622834842, 86.44682618535539 23.77164530018907, 86.44541293113576 23.77025100682804, 86.4459960307601 23.7684976382815, 86.44799237722131 23.76813855089802, 86.44940565371724 23.76953284760437, 86.45140204074586 23.76917372190117, 86.45198512161944 23.76742028395295, 86.45398151954714 23.76706110439165))"
893ca9c8313ffff,27,"POLYGON ((86.45198512161944 23.76742028395295, 86.45140204074586 23.76917372190117, 86.44940565371724 23.76953284760437, 86.44799237722131 23.76813855089802, 86.4459960307601 23.7684976382815, 86.44541293113576 23.77025100682804, 86.44682618535539 23.77164530018907, 86.44624308175052 23.77339862372228, 86.44424671654436 23.77375764169595, 86.44283348460678 23.77236335168251, 86.44083715998883 23.77272233133502, 86.43942397602231 23.77132801520467, 86.44000709438349 23.76957471607395, 86.44200338933655 23.7692157208696, 86.44258649634011 23.76746236452512, 86.44117331576625 23.76606801559125, 86.44175641878776 23.76431461424495, 86.44375269500634 23.76395554962686, 86.44516589786478 23.76534990190526, 86.44716221466577 23.76499079897737, 86.447745298947 23.7632373282255, 86.44974162665979 23.76287817144248, 86.4511548997481 23.7642725009525, 86.45057182285294 23.76602598390357, 86.45198512161944 23.76742028395295))"
